21-1,Norfolk,dce,1419-01-28,1419-03-02
21-2,Nottingham,dce,1418-07-20,1418-10-12
21-3,Essex,dce,1418-05-24,1418-12-31
21-4,Suffolk,dce,1418-05-24,1418-10-11
21-5,Leicester,dce,1418-08-19,1418-10-18
21-6,Kent,dce,1418-08-19,1418-09-12
21-7,Nottingham,dce,1418-08-19,1418-10-01
21-9,Hampshire,dce,1418-08-19,1419-02-21
21-10,Essex,dce,1418-08-19,1418-09-08
21-11,Stafford,dce,1418-08-19,1418-09-06
21-12,Lincoln,dce,1418-08-19,1418-09-28
21-13,Northampton,dce,1418-08-19,1418-09-20
21-15,Oxford,dce,1418-11-14,1418-12-05
21-16,Surrey,dce,1418-11-14,1418-11-30
21-17,Wiltshire,dce,1418-07-09,1418-10-24
21-19,Dorset,dce,1418-11-23,1419-03-16
21-20,Sussex,dce,1418-10-17,1418-11-04
21-21,York,dce,1418-05-28,1418-08-29
21-22,Hertford,dce,1419-02-18,1419-03-06
21-24,Norfolk,dce,1419-02-18,1419-04-05
21-26,Oxford,dce,1419-02-18,1419-06-05
21-27,Cambridge,dce,1419-02-18,1419-03-30
21-28,Hertford,dda,1422-10-20,1423-09-20
21-30,Nottinghamshire,dce,1419-02-10,1419-04-19
21-31,Lincoln,dce,1419-02-10,1419-05-05
21-32,York,dce,1419-02-10,1419-03-14
21-34,Worcestershire,dce,1418-10-20,1419-02-04
21-35,Gloucestershire,dce,1418-07-16,1418-11-15
21-36,Worcestershire,dce,1419-02-04,1418-11-16
21-37,Gloucestershire,dce,1418-07-16,1418-11-16
21-38,Gloucestershire,man,1418-07-15,1418-11-16
21-39,Devon,man,1418-07-15,1418-09-20
21-40,Wiltshire,man,1418-07-15,1418-09-21
21-41,Wiltshire,mel,1418-11-28,1419-03-30
21-42,Wiltshire,dce,1419-10-16,1419-11-07
21-43,Norfolk,dev,1418-11-24,1419-01-16
21-45,Norfolk,dev,1419-06-12,1419-09-25
21-46,Nottinghamshire,dce,1419-02-11,1419-04-22
21-47,Lincoln,dce,1418-10-28,1419-04-03
21-48,Norfolk,dce,1418-10-07,1418-11-02
21-50,Warwickshire,dce,1418-10-18,1418-11-19
21-51,Somerset,dce,1418-04-20,1418-05-24
21-52,Essex,dce,1418-10-08,1420-11-04
21-53,Kent,dce,1418-04-20,1418-07-06
21-54,York,dce,1418-04-20,1418-07-18
21-55,Norfolk,dce,1418-04-20,1418-05-25
21-57,Leicestershire,dce,1418-04-20,1418-06-04
21-58,Leicestershire,ple,1418-10-16,1418-10-22
21-59,Derbyshire,dce,1418-04-20,1418-08-24
21-61,Suffolk,dce,1418-02-28,1418-06-17
21-62,Bedfordshire,dce,1418-02-28,1418-05-03
21-63,London,dce,1418-02-28,1418-04-25
21-64,Somerset,dce,1418-02-28,1418-05-07
21-65,Devon,dce,1418-02-28,1418-05-02
21-67,Lincoln,dce,1418-02-28,1418-03-18
21-68,York,dce,1418-02-28,1418-04-01
21-69,Cumberland,dce,1418-02-28,1418-04-18
21-70,Lancaster,dce,1418-02-28,1418-03-12
21-71,Lancaster,unc,1418-06-13,1418-06-23
21-72,Cumberland,wnedda,1418-07-08,1418-09-07
21-74,Nottinghamshire,dce,1418-04-20,1418-07-30
21-75,Leicestershire,dce,1418-04-20,1418-06-04
21-76,Leicestershire,dce,1417-11-20,1418-03-24
21-77,Nottinghamshire,dce,1418-04-25,1418-09-28
21-78,York,dce,1418-08-25,1418-10-19
21-79,Suffolk,qp,1418-07-01,1418-08-10
21-80,Cambridgeshire,dce,1418-05-24,1418-12-05
21-81,Surrey,dce,1418-05-24,1418-06-01
21-82,Worcestershire,dce,1418-09-22,1418-10-25
21-83,Warwickshire,dce,1418-09-22,1418-10-25
21-84,Shropshire and the Adjacent March of Wales,dce,1418-09-22,1418-10-19
21-85,Staffordshire,dce,1418-09-22,1418-10-22
21-86,Cambridgeshire,dce,1418-12-30,1419-12-20
21-88,Leicestershire,dce,1418-12-30,1419-02-07
21-89,Northamptonshire,dce,1418-12-30,1419-02-06
21-90,Wiltshire,dce,1416-12-01,1418-10-20
21-91,Cornwall,dce,1418-04-25,1418-05-07
21-92,Devon,dce,1418-04-25,1418-05-04
21-93,Surrey,dce,1418-09-24,1418-11-07
21-94,Cambridgeshire,dce,1418-09-24,1418-11-05
21-96,Essex,dce,1418-09-24,1418-10-23
21-98,London,dce,1418-09-24,1418-10-19
21-99,Leicestershire,dce,1418-09-24,1418-11-23
21-100,Wiltshire,dce,1418-09-24,1418-11-21
21-101,Oxfordshire,dce,1418-09-24,1418-11-17
21-102,Bedfordshire,dce,1418-09-24,1418-11-14
21-104,Northamptonshire,dce,1418-09-24,1418-11-05
21-105,Dorset,dce,1418-06-22,1418-07-28
21-106,Wiltshire,dce,1418-06-22,1418-07-21
21-108,Westmorland,dce,1418-04-14,1418-04-28
21-109,Northamptonshire,dce,1418-04-14,1418-05-02
21-110,Cumberland,dce,1418-04-14,1418-04-28
21-111,Northumberland,dce,1418-04-14,1418-04-28
21-112,York,dce,1418-04-14,1418-04-27
21-113,London,dce,1418-08-20,1418-10-19
21-114,Kent,dce,1418-08-20,1418-10-29
21-115,Essex,dce,1418-08-20,1419-03-15
21-116,Essex,dce,1418-11-23,1418-12-12
21-117,Derbyshire,dce,1418-04-26,1418-06-17
21-119,York,dce,1417-12-16,1418-03-24
21-120,Devon,dce,1418-07-24,1418-09-20
21-121,Cornwall,dce,1418-07-24,1418-09-10
21-122,Bedfordshire,dce,1419-01-09,1419-02-06
21-123,Surrey,dce,1419-02-02,1419-03-04
21-124,Leicestershire,dce,1419-02-02,1419-03-03
21-125,Hertfordshire,dce,1419-02-02,1419-03-06
21-126,Northamptonshire,dce,1419-02-02,1419-03-02
21-127,Gloucester and the Adjacent March of Wales,dce,1418-11-16,1418-12-10
21-128,Worcestershire,mel,1418-10-08,1418-11-02
21-129,Shropshire,mel,1418-10-08,1418-11-01
21-130,Leicestershire,man,1418-07-15,1418-10-20
21-131,Leicestershire,dce,1418-11-03,1418-11-12
21-132,Warwickshire,dce,1418-04-20,1418-06-01
21-133,Warwickshire,mel,1418-11-08,1418-11-17
21-134,Nottinghamshire,dce,1418-04-20,1418-10-12
21-135,Wiltshire,dce,1418-04-20,1418-06-25
21-136,Gloucestershire,dce,1419-02-04,1419-03-04
21-137,Wiltshire,dce,1419-02-04,1419-02-18
21-138,York,dce,1419-02-04,1419-04-14
21-139,Surrey,dce,1419-02-01,1419-02-18
21-141,Sussex,qp,1418-11-14,1418-11-24
21-142,Gloucestershire and the Adjacent March of Wales,mel,1418-11-14,1418-05-26
21-143,Hampshire,dce,1419-01-15,1419-02-09
21-144,Surrey,dep,1418-07-14,1418-08-06
21-146,Berkshire,dep,1418-04-28,1418-05-14
21-147,York,dep,1418-08-27,1418-09-16
21-148,Gloucestershire,dep,1418-06-06,1418-06-27
21-149,Devon,dep,1418-07-20,1418-08-26
21-150,Buckinghamshire,dda,1419-01-25,1419-03-06
21-151,Gloucester,dda,1417-10-09,1418-05-10
21-152,Nottingham,dda,1418-07-18,1418-08-01
21-153,Kent,dda,1418-05-10,1418-05-20
21-157,Essex,dda,1418-11-12,1419-03-20
21-160,Middlesex,dce,1419-10-04,1419-11-06
21-161,Devon,dce,1419-02-08,1419-04-07
21-162,Hertfordshire,dce,1419-10-26,1419-12-04
21-163,Dorset,dce,1419-02-05,1419-10-31
21-164,Somerset,dce,1419-03-28,1419-07-15
21-165,Warwickshire,dce,1420-02-16,1420-03-09
21-166,Worcestershire,dce,1420-02-16,1420-03-12
21-167,Gloucestershire,dce,1420-02-16,1420-03-15
21-168,Staffordshire,dce,1420-02-16,1420-03-12
21-169,Essex,dce,1419-03-28,1419-07-01
21-171,Buckinghamshire,dce,1420-02-10,1420-02-20
21-172,Staffordshire,dce,1419-04-18,1419-07-13
21-173,Stafford,dda,1420-02-01,1420-06-03
21-174,Kent,dce,1419-03-22,1419-07-20
21-175,Kent,dce,1418-11-28,1419-03-30
21-176,Hampshire,dce,1419-03-13,1419-05-22
21-177,Berkshire,dce,1419-05-28,1419-06-13
21-178,Wiltshire,dce,1419-04-08,1419-09-22
21-179,Nottinghamshire,man,1419-07-08,1419-07-29
21-180,Dorset,dce,1419-07-21,1419-10-13
21-181,Kent,dce,1419-02-12,1419-07-12
21-183,Warwickshire,dce,1419-03-04,1419-06-08
21-185,Worcestershire,dce,1419-03-04,1419-05-31
21-186,Gloucestershire,dce,1419-03-05,1419-09-25
21-187,Wiltshire,dce,1419-03-04,1419-04-17
21-188,Wiltshire,mel,1419-11-10,1419-11-22
21-189,Essex,dce,1419-09-04,1419-10-02
21-190,Warwickshire,dce,1419-10-16,1419-11-19
21-191,Hertfordshire,dce,1419-11-10,1419-11-18
21-192,Somerset,dce,1419-02-04,1419-06-26
21-193,Somerset,mel,1419-11-06,1419-11-16
21-194,Staffordshire,qhr,1419-12-06,1420-01-10
21-195,Staffordshire,qhr,1419-12-06,1420-01-10
21-196,Leicestershire,dce,1419-09-10,1419-10-05
21-197,Gloucestershire and the Adjacent March of Wales,dce,1419-09-10,1419-10-05
21-198,Derbyshire,dce,1419-10-20,1419-11-04
21-199,Northamptonshire,dce,1419-09-10,1419-10-05
21-200,Staffordshire,dce,1419-09-10,1419-09-21
21-201,Norfolk,dce,1419-02-07,1419-03-06
21-203,Norfolk,dce,1419-01-24,1419-03-06
21-205,Norfolk,mel,1419-05-16,1419-05-20
21-206,Suffolk,dce,1420-01-28,1420-02-21
21-207,Essex,dce,1420-01-28,1420-02-16
21-208,Kent,dce,1420-01-28,1420-02-16
21-209,Somerset,dce,1419-03-28,1419-06-12
21-210,Suffolk,man,1419-05-17,1419-09-12
21-211,Rutland,dce,1419-10-20,1419-11-09
21-212,London,dce,1419-11-08,1419-12-07
21-213,Rutland,man,1419-10-18,1419-11-09
21-214,Yorkshire,man,1419-10-18,1419-11-20
21-215,Yorkshire,mel,1419-11-03,1419-11-20
21-216,Lincolnshire,dep,1419-12-20,1420-01-25
21-217,Kent,dce,1419-05-18,1419-06-22
21-218,Wiltshire,dce,1419-05-28,1419-06-06
21-219,Sussex,dce,1419-08-20,1419-10-21
21-220,Kent,dce,1419-07-21,1419-07-26
21-221,Wiltshire,dce,1418-10-06,1419-09-25
21-222,Essex,dce,1419-05-13,1419-06-23
21-223,Devon,dce,1420-01-28,1420-03-06
21-224,Devon,mel,1420-03-13,1420-04-26
21-225,Sussex,dce,1419-05-29,1419-07-27
21-227,Essex,dce,1418-11-26,1419-06-20
21-228,Somerset,dce,1419-10-12,1419-11-02
21-229,Bristol,man,1419-05-28,1419-06-14
21-230,Cornwall,dce,1418-11-08,1419-10-27
21-231,Somerset,dce,1419-10-12,1419-11-02
21-232,Berkshire,man,1420-02-10,1420-02-22
21-233,Gloucestershire,man,1420-02-10,1420-02-22
21-234,Staffordshire,dce,1419-09-04,1419-09-22
21-235,Shropshire,man,1420-02-10,1420-02-22
21-236,Suffolk,man,1420-02-10,1420-02-22
21-237,Somerset,dce,1419-01-03,1419-09-21
21-238,Essex,dce,1419-12-16,1420-06-01
21-239,Nottinghamshire,dce,1419-11-08,1419-11-18
21-240,Dorset,dce,1419-02-22,1419-04-29
21-242,Dorset,mel,1419-06-01,1419-06-24
21-243,Wiltshire,dce,1419-02-22,1419-04-20
21-244,Wiltshire,mel,1419-06-01,1419-06-06
21-245,Worcestershire,dce,1419-11-20,1420-04-27
21-246,Warwickshire,dce,1419-11-08,1419-11-21
21-247,Staffordshire,dce,1419-11-20,1419-12-12
21-248,Gloucestershire,dce,1419-11-20,1420-03-13
21-249,Shropshire,dce,1419-11-08,1419-11-08
21-250,Cambridgeshire,dce,1419-04-14,1419-05-26
21-251,Yorkshire,dce,1419-04-14,1419-06-22
21-252,Lincolnshire,dce,1419-04-14,1419-06-30
21-253,Berkshire,dce,1419-04-14,1419-06-05
21-254,Wiltshire,dce,1419-04-14,1419-06-03
21-255,Norfolk,dce,1419-04-14,1419-05-25
21-257,Essex,dev,1419-11-14,1419-12-18
21-258,Cambridgeshire,dev,1419-10-14,1419-11-03
21-259,Norfolk,dev,1419-11-14,1420-01-08
21-260,Norfolk,dep,1420-01-12,1420-01-29
21-261,Oxfordshire,dce,1405-10-04,1405-11-01
21-262,Hampshire,dce,1405-10-04,1405-10-20
21-263,Somerset,dce,1405-10-04,1406-01-10
21-264,Suffolk,jur,1418-07-16,1419-04-21
21-265,Oxfordshire,dce,1420-01-24,1420-01-30
21-267,Gloucestershire and the Adjacent March of Wales,dce,1419-11-14,1420-01-22
21-268,Cornwall,dce,1419-06-01,1419-09-23
21-269,Cornwall,dce,1419-07-07,1419-09-23
21-270,Nottinghamshire,man,1418-11-28,1419-03-29
21-271,Lincolnshire,mel,1419-05-01,1418-05-12
21-273,Somerset,dce,1418-03-18,1419-04
21-274,Dorset,dce,1419-05-18,1419-07-27
21-276,Worcestershire,dce,1419-05-13,1419-10-09
21-278,Rutland,dce,1419-05-28,1419-07-20
21-279,Rutland,mel,1419-07-26,1419-08-01
21-281,Gloucestershire,dce,1419-10-22,1419-11-09
21-282,Dorset,dce,1419-10-22,1419-11-09
21-283,Hampshire,dce,1419-07-14,1419-11-08
21-284,Somerset,dce,1419-07-14,1419-09-21
21-285,Nottinghamshire,dce,1419-04-27,1419-06-19
21-286,Essex,dce,1419-04-27,1419-06-26
21-287,Essex,mel,1419-11-03,1419-11-09
21-288,Norfolk,dce,1419-04-27,1419-06-21
21-290,Norfolk,mel,1419-10-28,1419-11-10
21-291,Lincolnshire,dce,1419-04-27,1419-06-16
21-292,Lincolnshire,mel,1419-10-28,1419-11-09
21-293,Yorkshire,dce,1419-04-27,1419-07-01
21-294,Yorkshire,mel,1419-10-28,1419-11-10
21-295,Buckinghamshire,dce,1419-08-25,1419-08-31
21-296,Oxfordshire,dce,1419-08-25,1419-08-29
21-297,London,dce,1419-08-25,1419-09-24
21-298,Cambridgeshire,dce,1419-08-25,1419-10-04
21-299,Shropshire and the Adjacent March of Wales,dce,1419-11-03,1419-11-28
21-300,Shropshire and the Adjacent March of Wales,mel,1420-01-20,1420-01-22
21-301,Staffordshire,dce,1419-11-03,1419-12-20
21-302,Yorkshire,dce,1419-11-14,1419-12-19
21-303,Gloucestershire and the Adjacent March of Wales,dce,1419-10-14,1419-10-30
21-304,Gloucestershire and the Adjacent March of Wales,qp,1420-04-20,1419-10-09
21-305,Gloucestershire and the Adjacent March of Wales,dce,1420-12-11,1421-09-18
21-306,Kent,man,1419-10-01,1419-10-06
21-307,Kent,dep,1419-10-18,1419-10-23
21-308,Hampshire,dce,1418-11-01,1418-11-17
21-311,London,dce,1418-11-01,1419-02-07
21-312,Bedfordshire,dce,1418-11-01,1418-11-17
21-314,Warwickshire,dce,1418-11-01,1419-05-23
21-315,Leicestershire,dce,1418-11-01,1419-02-09
21-316,Oxfordshire,dce,1418-11-01,1418-12-03
21-318,Shropshire and the Adjacent March of Wales,dce,1418-11-01,1418-12-03
21-319,Shropshire and the Adjacent March of Wales,dce,1419-10-17,1419-12-06
21-320,Herefordshire and the Adjacent March of Wales,dce,1418-11-01,1419-03-19
21-322,Gloucestershire and the Adjacent March of Wales,dce,1418-11-01,1419-01-11
21-323,Hampshire,dce,1420-01-27,1420-02-24
21-324,Somerset,dce,1419-01-28,1420-02-29
21-325,Dorset,dce,1420-01-28,1420-03-11
21-326,Cornwall,dce,1420-01-28,1420-02-26
21-328,Somerset,dce,1419-05-24,1419-06-07
21-329,Cornwall,dce,1419-05-24,1419-06-14
21-331,Devon,dce,1419-12-17,1420-01-09
21-332,Huntingdonshire,dce,1419-04-12,1419-10-13
21-333,Norfolk,dce,1419-04-12,1419-05-16
21-335,Northamptonshire,dce,1419-04-12,1419-05-13
21-336,Derbyshire,dce,1419-04-12,1419-05-12
21-338,Lincolnshire,dce,1419-04-12,1419-04-22
21-339,Lincolnshire,dce,1419-11-03,1420-05-20
21-340,York,dce,1419-11-03,1419-12-22
21-341,Yorkshire,dce,1419-11-03,1419-12-21
21-342,Devon,dce,1419-11-02,1419-03-12
21-344,Hampshire,dce,1419-12-16,1420-01-18
21-345,Berkshire,dce,1419-12-16,1420-01-08
21-346,Buckinghamshire,dce,1419-12-16,1420-01-11
21-347,Somerset,dce,1419-12-16,1420-01-02
21-349,Cornwall,dce,1419-12-16,1420-01-05
21-351,Dorset,mel,1419-05-20,1419-06-24
21-352,Herefordshire and the Adjacent March of Wales,qp,1418-11-22,1419-04-27
21-353,Calais,dev,1419-03-02,1419-08-20
21-354,Middlesex,dev,1419-03-02,1420-02-10
21-355,Derbyshire,dev,1419-03-02,1420-04-24
21-357,Yorkshire,dev,1419-03-02,1419-10-03
21-358,Northumberland,dev,1419-03-02,1419-09-21
21-359,Lincolnshire,dev,1419-11-18,1420-10-17
21-360,Yorkshire,man,1419-07-22,1419-10-03
21-361,Northumberland,mel,1419-07-22,1419-09-20
21-362,Buckinghamshire,dce,1419-11-24,1420-05-30
21-363,Calais,dce,1420-01-08,1420-02-10
21-364,Cornwall,dce,1420-02-05,1421-03-27
21-365,Kent,dce,1419-05-18,1419-06-13
21-366,Hampshire,man,1419-11-24,1420-04-03
21-368,Cumberland,dep,1419-10-20,1419-10-28
21-369,Gloucestershire,dep,1420-02-04,1420-02-27
21-370,Gloucestershire,dep,1419-11-14,1419-11-20
21-371,Bristol,dep,1418-10-20,1419-09-27
21-375,Yorkshire,dda,1420-02-10,1420-03-10
21-383,Herefordshire and the Adjacent March of Wales,dce,1420-05-18,1420-06-13
21-384,Middlesex,dce,1420-10-13,1420-10-25
21-385,Kent,dce,1420-01-16,1420-04-11
21-386,Northumberland,dce,1420-02-20,1420-06-20
21-387,Norfolk,dce,1420-10-24,1420-11-07
21-388,Calais,mel,1420-11-12,1421-02-12
21-389,Shropshire and the Adjacent March of Wales,man,1420-11-14,1421-03-18
21-390,Essex,dce,1420-10-28,1420-11-04
21-391,Middlesex,dce,1420-10-28,1420-11-08
21-393,Staffordshire,dce,1420-10-28,1421-01-11
21-394,Berkshire,dce,1420-10-20,1420-10-28
21-395,Hampshire,dce,1420-10-20,1420-11-16
21-396,Essex,dce,1419-10-26,1420-02-24
21-397,Essex,dev,1420-06-24,1420-07-13
21-398,Essex,dev,1420-11-17,1420-11-18
21-399,Essex,mel,1420-11-26,1420-12-14
21-400,Gloucestershire and the Adjacent March of Wales,dev,1420-11-05,1420-11-12
21-401,Essex,man,1420-07-05,1420-07-15
21-402,Sussex,mel,1420-02-09,1420-11-01
21-403A,Sussex,dce,1420-12-01,1421-01-05
21-403,Sussex,mel,1421-02-05,1421-02-16
21-404,Lincolnshire,dce,1420-04-22,1420-06-04
21-405,Northumberland,dce,1420-08-20,1420-09-04
21-406,Hertfordshire,dce,1420-10-12,1420-11-11
21-407,Northumberland,amot,1421-11-24,1422-03-21
21-408,Northumberland,qp,1422-07-14,1422-08-18
21-409,Northumberland,dce,1420-12-01,1420-12-19
21-410,Norfolk,dce,1420-10-24,1420-11-05
21-411,Northumberland,dce,1420-02-17,1420-05-23
21-412,Buckinghamshire,dce,1419-10-26,1420-04-27
21-413,Suffolk,dce,1420-10-24,1420-10-28
21-415,Northamptonshire,dce,1421-01-10,1421-03-11
21-416,Cambridgeshire,dce,1421-01-10,1421-03-08
21-417,Surrey,dce,1421-01-10,1421-02-08
21-418,Essex,dce,1420-12-03,1420-12-17
21-419,Northumberland,dce,1421-01-08,1421-03-13
21-420,Northumberland,mel,1421-05-05,1421-06-04
21-421,Northamptonshire,dce,1420-05-18,1420-05-30
21-422,Worcestershire,dev,1417-11-16,1421-01-09
21-423,Essex,dce,1420-11-16,1420-11-18
21-424,Worcestershire,dce,1420-04-24,1420-09-25
21-425,Huntingdonshire,dce,1418-07-18,1419-10-13
21-426,Huntingdonshire,mel,1420-02-24,1420-04-27
21-427,Wiltshire,dce,1419-12-18,1420-06-27
21-428,Somerset,dce,1420-07-20,1420-09-04
21-429,Herefordshire and the Adjacent March of Wales,dce,1420-07-20,1420-09-28
21-430,Essex,dce,1420-11-27,1420-12-17
21-431,Suffolk,wnedce,1420-07-01,1420-10-10
21-432,Essex,dce,1420-07-01,1420-11-05
21-433,Herefordshire and the Adjacent March of Wales,mel,1419-11-24,1420-09-24
21-434,Staffordshire,dce,1420-10-16,1420-09-06
21-435,Wiltshire,dce,1420-10-12,1420-11-13
21-436,Wiltshire,dce,1420-10-12,1420-11-13
21-437,Gloucestershire and the Adjacent March of Wales,dce,1420-08-04,1421-01-24
21-438,Somerset,dce,1420-10-12,1420-11-25
21-439,Somerset,mel,1421-02-26,1421-04-20
21-440,Oxfordshire,dce,1420-10-14,1420-11-18
21-441,Buckinghamshire,dce,1420-10-14,1420-10-23
21-443,Oxfordshire,dce,1420-10-16,1420-11-06
21-444,Sussex,dce,1420-10-16,1420-11-10
21-445,Kent,dce,1420-10-16,1420-11-12
21-446,Cornwall,dce,1420-10-16,1422-02-24
21-447,Northumberland,dce,1420-10-12,1420-11-23
21-448,Buckinghamshire,dce,1420-02-12,1420-04-02
21-449,Shropshire and the Adjacent March of Wales,dce,1420-10-24,1420-11-09
21-450,Suffolk,dce,1420-03-24,1420-07-01
21-451,Warwickshire,dce,1420-10-12,1420-11-05
21-453,Devon,dce,1420-12-08,1421-01-27
21-454,Wiltshire,dce,1420-10-28,1421-02-04
21-455,Dorset,dce,1420-10-28,1421-02-06
21-457,Lincolnshire,dce,1420-10-28,1421-04-04
21-458,Hertfordshire,dce,1420-10-28,1421-05-08
21-459,Cambridgeshire,dce,1420-10-28,1421-05-22
21-460,Bedfordshire,dce,1421-02-08,1421-03-28
21-461,Worcestershire,dce,1421-02-08,1421-04-25
21-462,Dorset,dce,1421-02-08,1421-04-30
21-463,Wiltshire,dce,1421-02-08,1421-05-01
21-464,Essex,dce,1420-10-20,1420-11-04
21-465,Middlesex,dce,1420-10-20,1420-11-08
21-467,Herefordshire,dce,1420-10-20,1420-11-20
21-468,Worcestershire,dce,1420-10-20,1420-11-11
21-469,Shropshire,dce,1420-10-20,1420-11-26
21-470,Norfolk,dce,1420-06-14,1420-09-09
21-472,Norfolk,mel,1420-11-04,1420-11-19
21-473,Yorkshire,dce,1420-07-06,1420-09-19
21-474,Cambridgeshire,dce,1420-06-14,1420-10-08
21-475,Northumberland,dce,1420-10-24,1420-12-23
21-476,Northumberland,mel,1422-07-10,1422-08-20
21-477,Wiltshire,dce,1420-06-24,1420-09-25
21-478,Cambridgeshire,dev,1421-02-05,1421-04-08
21-479,Dorset,dev,1420-11-20,1421-02-24
21-480,Norfolk,dev,1420-11-20,1421-01-21
21-481,Devon,dce,1420-06-12,1420-09-17
21-482,Devon,dce,1420-11-27,1421-01-08
21-483,Staffordshire,dce,1420-08-04,1420-10-02
21-484,Wiltshire,dce,1420-10-10,1420-11-08
21-485,Hampshire,dce,1420-10-09,1420-11-09
21-486,Northamptonshire,dce,1420-10-10,1420-10-28
21-487,Buckinghamshire,dce,1420-10-10,1420-10-21
21-488,Somerset,wnedce,1420-10-10,1420-11-04
21-489,Dorset,man,1420-03-24,1420-06-24
21-490,Staffordshire,dev,1420-09-27,1420-10-02
21-491,Staffordshire,dev,1420-12-13,1421-01-18
21-492,Wiltshire,dce,1420-10-18,1420-11-06
21-493,Wiltshire,dce,1420-06-18,1420-07-30
21-494,Yorkshire,dce,1420-02-16,1420-04-25
